Day,Day2,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_3332
379,40557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,1,2,0,0,0,0,1,2,0,3,0,1,2,4,0,0,2,0,0,0,0,0,3,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,6,3,0,2,1,0,4,0,1,1,5
393,40571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,6,3,0,0,2,0,0,0,4,0,5,0,1,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,4,1,0,5,0,0,1,0,0,0,9
407,40585,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,3,5,5,0,0,0,0,0,0,7,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,2,2,0,4,3,0,3,0,1,0,10
421,40599,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,7,7,2,0,2,0,0,0,4,2,3,0,0,1,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,3,0,0,4,1,0,1,14
435,40613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,9,1,2,1,1,0,1,5,2,1,0,1,0,9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,2,0,0,2,1,1,1,0,1,1,18
449,40627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,1,1,0,0,0,0,4,0,3,0,1,1,6,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,2,1,1,1,0,3,2,0,0,0,0,0,11
463,40641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,12,0,1,0,0,0,0,9,0,1,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,19,3,0,1,6,0,0,2,0,3,2,0,0,0,18
477,40655,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,4,2,2,0,0,0,0,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,3,0,2,0,0,4,0,1,1,2,2,1,5
491,40669,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,3,7,10,4,1,0,2,0,0,1,6,0,5,0,0,2,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,1,0,1,1,1,0,14
505,40683,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,10,9,3,0,0,0,0,8,6,0,2,0,0,2,4,0,0,0,2,0,0,0,0,4,1,3,0,2,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,3,1,4,0,5,1,0,0,1,0,2,0,2,3,19
519,40697,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,14,13,14,2,0,3,1,4,7,6,1,8,0,0,0,13,0,1,2,2,0,1,3,0,4,0,2,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,2,1,5,2,1,1,1,2,3,0,5,0,1,0,27
533,40711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,22,20,10,3,0,2,1,5,3,11,1,8,2,1,0,4,0,0,3,5,0,4,1,1,7,1,5,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,2,5,6,1,1,2,2,0,1,0,0,30
547,40725,1,0,0,1,0,0,0,0,1,1,0,0,3,0,1,0,0,0,8,25,13,19,2,2,5,2,4,14,9,1,9,0,1,1,6,0,0,0,4,0,6,0,1,8,2,6,4,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,5,0,2,2,0,3,1,2,3,0,1,0,32
561,40739,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,3,17,22,18,7,1,4,1,3,19,26,6,15,1,4,2,11,0,2,1,3,0,17,2,3,7,9,6,1,1,1,1,2,3,2,0,2,0,2,0,0,0,0,0,0,1,0,7,0,3,2,1,2,0,2,2,0,0,0,40
575,40753,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,5,19,20,20,3,1,3,5,6,18,29,4,24,2,5,10,16,0,1,1,5,0,15,3,8,11,1,6,2,3,3,1,4,0,4,0,6,0,1,1,0,0,0,0,0,4,2,8,2,2,5,1,3,2,1,3,0,0,1,40
